Window Clock,Alert Level,Alert Type,Alert Info,Alert Mode,Left_SidewalkX(Filterd),Left_SidewalkX,Left_Sidewalk_END_Y,Left_State,Right_SidewalkX(Filterd),Right_SidewalkX,Right_Sidewalk_END_Y,Right_State,ItemID[0],AmpData[0],FrequencyData[0],EstPosX[0],EstPosY[0],EstVelX[0],EstVelY[0],Moving State,Number of Elements,Warning Flag,X Edge Left[0],X Edge Right[0],Y Edge Front[0],Y Edge Rear[0],-,ItemID[1],AmpData[1],FrequencyData[1],EstPosX[1],EstPosY[1],EstVelX[1],EstVelY[1],Moving State,Number of Elements,Warning Flag,X Edge Left[1],X Edge Right[1],Y Edge Front[1],Y Edge Rear[1],-,ItemID[2],AmpData[2],FrequencyData[2],EstPosX[2],EstPosY[2],EstVelX[2],EstVelY[2],Moving State,Number of Elements,Warning Flag,X Edge Left[2],X Edge Right[2],Y Edge Front[2],Y Edge Rear[2],-,ItemID[3],AmpData[3],FrequencyData[3],EstPosX[3],EstPosY[3],EstVelX[3],EstVelY[3],Moving State,Number of Elements,Warning Flag,X Edge Left[3],X Edge Right[3],Y Edge Front[3],Y Edge Rear[3],-,ItemID[4],AmpData[4],FrequencyData[4],EstPosX[4],EstPosY[4],EstVelX[4],EstVelY[4],Moving State,Number of Elements,Warning Flag,X Edge Left[4],X Edge Right[4],Y Edge Front[4],Y Edge Rear[4],-,ItemID[5],AmpData[5],FrequencyData[5],EstPosX[5],EstPosY[5],EstVelX[5],EstVelY[5],Moving State,Number of Elements,Warning Flag,X Edge Left[5],X Edge Right[5],Y Edge Front[5],Y Edge Rear[5],-,ItemID[6],AmpData[6],FrequencyData[6],EstPosX[6],EstPosY[6],EstVelX[6],EstVelY[6],Moving State,Number of Elements,Warning Flag,X Edge Left[6],X Edge Right[6],Y Edge Front[6],Y Edge Rear[6],-,ItemID[7],AmpData[7],FrequencyData[7],EstPosX[7],EstPosY[7],EstVelX[7],EstVelY[7],Moving State,Number of Elements,Warning Flag,X Edge Left[7],X Edge Right[7],Y Edge Front[7],Y Edge Rear[7],-,ItemID[8],AmpData[8],FrequencyData[8],EstPosX[8],EstPosY[8],EstVelX[8],EstVelY[8],Moving State,Number of Elements,Warning Flag,X Edge Left[8],X Edge Right[8],Y Edge Front[8],Y Edge Rear[8],-,ItemID[9],AmpData[9],FrequencyData[9],EstPosX[9],EstPosY[9],EstVelX[9],EstVelY[9],Moving State,Number of Elements,Warning Flag,X Edge Left[9],X Edge Right[9],Y Edge Front[9],Y Edge Rear[9],-
0,0,0,0,5,0,,,,0,,,,7,15,0,-0.859375,12.8281,0,0.9375,1,0,0,-1.89063,0.015625,14.3906,10.5469,
40,0,0,0,5,0,,,,0,,,,7,15,0,-0.828125,12.7813,0,0.875,1,0,0,-1.85938,0.0625,14.3438,10.4844,
80,0,0,0,5,0,,,,0,,,,7,15,0,-0.828125,12.7656,0,0.8125,1,0,0,-1.85938,0.046875,14.3281,10.4531,
120,0,0,0,5,0,,,,0,,,,7,15,0,-0.828125,12.7344,0,0.75,1,0,0,-1.84375,0.0625,14.2969,10.4063,
160,0,0,0,5,0,,,,0,,,,7,15,0,-0.84375,12.75,0,0.75,1,0,0,-1.85938,0.046875,14.3594,10.4219,
200,0,0,0,5,0,,,,0,,,,7,15,0,-0.84375,12.7969,0,0.75,1,0,0,-1.85938,0.03125,14.4219,10.4844,
240,0,0,0,5,0,,,,0,,,,7,15,0,-0.828125,12.8438,0,0.8125,1,0,0,-1.82813,0.046875,14.5,10.5156,
280,0,0,0,5,0,,,,0,,,,7,15,0,-0.828125,12.9063,0,0.8125,1,0,0,-1.82813,0.046875,14.5781,10.5313,
320,0,0,0,5,0,,,,0,,,,7,15,0,-0.828125,12.9531,0,0.8125,1,0,0,-1.82813,0.0625,14.6406,10.5625,
360,0,0,0,5,0,,,,0,,,,7,15,0,-0.8125,13,0.0625,0.8125,1,0,0,-1.79688,0.09375,14.6563,10.5781,
400,0,0,0,5,0,,,,0,,,,7,15,0,-0.796875,13.0156,0.0625,0.8125,1,0,0,-1.78125,0.09375,14.6719,10.6406,
440,0,0,0,5,0,,,,0,,,,7,10,0,-0.78125,13.0313,0.0625,0.8125,1,0,0,-1.73438,0.09375,14.625,10.7188,
480,0,0,0,5,0,,,,0,,,,7,8,0,-0.78125,13,0.0625,0.8125,1,0,0,-1.73438,0.078125,14.5313,10.7188,
520,0,0,0,5,0,,,,0,,,,7,10,0,-0.671875,12.9375,0.0625,0.8125,1,0,0,-1.59375,0.171875,14.375,10.6875,
560,0,0,0,5,0,,,,0,,,,7,7,0,-0.671875,12.9219,0.0625,0.75,1,0,0,-1.59375,0.140625,14.2969,10.75,
600,0,0,0,5,0,,,,0,,,,7,5,0,-0.609375,12.9375,0.0625,0.75,1,0,0,-1.5,0.1875,14.2656,10.8594,
640,0,0,0,5,0,,,,0,,,,7,10,0,-0.484375,12.8438,0.0625,0.5625,1,0,0,-1.35938,0.3125,14.125,10.7344,
680,0,0,0,5,0,,,,0,,,,7,6,0,-0.4375,12.6563,0.1875,0.5625,1,0,0,-1.26563,0.375,13.7656,10.5156,
720,0,0,0,5,0,,,,0,,,,7,6,0,-0.359375,12.4688,0.25,0.5,1,0,0,-1.15625,0.46875,13.4531,10.3281,
760,0,0,0,5,0,,,,0,,,,7,10,0,-0.34375,12.3594,0.3125,0.3125,1,0,0,-1.10938,0.484375,13.2656,10.25,
800,0,0,0,5,0,,,,0,,,,7,9,0,-0.390625,12.2656,0.3125,0.125,1,0,0,-1.17188,0.453125,13.1094,10.1563,
840,0,0,0,5,0,,,,0,,,,7,8,0,-0.40625,12.1719,0.25,0,1,0,0,-1.20313,0.453125,12.9688,10.0781,
880,0,0,0,5,0,,,,0,,,,7,8,0,-0.421875,12.1094,0.1875,-0.125,1,0,0,-1.21875,0.453125,12.8594,10.0156,
920,0,0,0,5,0,,,,0,,,,7,8,0,-0.40625,12.1094,0.1875,-0.125,1,0,0,-1.21875,0.484375,12.8125,10.0156,
960,0,0,0,5,0,,,,0,,,,7,8,0,-0.40625,12.0938,0.1875,-0.125,1,0,0,-1.21875,0.5,12.7656,10.0313,
