Window Clock,Alert Level,Alert Type,Alert Info,Alert Mode,Left_SidewalkX(Filterd),Left_SidewalkX,Left_Sidewalk_END_Y,Left_State,Right_SidewalkX(Filterd),Right_SidewalkX,Right_Sidewalk_END_Y,Right_State,ItemID[0],AmpData[0],FrequencyData[0],EstPosX[0],EstPosY[0],EstVelX[0],EstVelY[0],Moving State,Number of Elements,Warning Flag,X Edge Left[0],X Edge Right[0],Y Edge Front[0],Y Edge Rear[0],-,ItemID[1],AmpData[1],FrequencyData[1],EstPosX[1],EstPosY[1],EstVelX[1],EstVelY[1],Moving State,Number of Elements,Warning Flag,X Edge Left[1],X Edge Right[1],Y Edge Front[1],Y Edge Rear[1],-,ItemID[2],AmpData[2],FrequencyData[2],EstPosX[2],EstPosY[2],EstVelX[2],EstVelY[2],Moving State,Number of Elements,Warning Flag,X Edge Left[2],X Edge Right[2],Y Edge Front[2],Y Edge Rear[2],-,ItemID[3],AmpData[3],FrequencyData[3],EstPosX[3],EstPosY[3],EstVelX[3],EstVelY[3],Moving State,Number of Elements,Warning Flag,X Edge Left[3],X Edge Right[3],Y Edge Front[3],Y Edge Rear[3],-,ItemID[4],AmpData[4],FrequencyData[4],EstPosX[4],EstPosY[4],EstVelX[4],EstVelY[4],Moving State,Number of Elements,Warning Flag,X Edge Left[4],X Edge Right[4],Y Edge Front[4],Y Edge Rear[4],-,ItemID[5],AmpData[5],FrequencyData[5],EstPosX[5],EstPosY[5],EstVelX[5],EstVelY[5],Moving State,Number of Elements,Warning Flag,X Edge Left[5],X Edge Right[5],Y Edge Front[5],Y Edge Rear[5],-,ItemID[6],AmpData[6],FrequencyData[6],EstPosX[6],EstPosY[6],EstVelX[6],EstVelY[6],Moving State,Number of Elements,Warning Flag,X Edge Left[6],X Edge Right[6],Y Edge Front[6],Y Edge Rear[6],-,ItemID[7],AmpData[7],FrequencyData[7],EstPosX[7],EstPosY[7],EstVelX[7],EstVelY[7],Moving State,Number of Elements,Warning Flag,X Edge Left[7],X Edge Right[7],Y Edge Front[7],Y Edge Rear[7],-,ItemID[8],AmpData[8],FrequencyData[8],EstPosX[8],EstPosY[8],EstVelX[8],EstVelY[8],Moving State,Number of Elements,Warning Flag,X Edge Left[8],X Edge Right[8],Y Edge Front[8],Y Edge Rear[8],-,ItemID[9],AmpData[9],FrequencyData[9],EstPosX[9],EstPosY[9],EstVelX[9],EstVelY[9],Moving State,Number of Elements,Warning Flag,X Edge Left[9],X Edge Right[9],Y Edge Front[9],Y Edge Rear[9],-
0,0,0,0,5,0,,,,0,,,,0,14,0,-0.296875,43.0469,0.5,2.5625,1,0,0,-1.70313,1.10938,44.0313,42.5313,,6,6,0,3.1875,22.9063,0.5,1.125,1,0,0,2.65625,4.15625,23.875,22.125,,7,5,0,-0.984375,25.1719,0.1875,0.4375,1,0,0,-1.67188,-0.125,26,24.5,
40,0,0,0,5,0,,,,0,,,,0,14,0,-0.28125,43.1406,0.5,2.5625,1,0,0,-1.75,1.1875,44.125,42.625,,6,6,0,3.20313,22.9531,0.5,1.125,1,0,0,2.67188,4.17188,23.9219,22.1563,,7,5,0,-0.96875,25.2031,0.1875,0.4375,1,0,0,-1.65625,-0.125,26.0469,24.5469,
80,0,0,0,5,0,,,,0,,,,0,14,0,-0.265625,43.25,0.5,2.5625,1,0,0,-1.79688,1.28125,44.2344,42.7344,,6,6,0,3.21875,23,0.5,1.125,1,0,0,2.70313,4.20313,23.9688,22.2031,,7,5,0,-0.96875,25.2188,0.1875,0.4375,1,0,0,-1.64063,-0.125,26.1094,24.6094,
120,0,0,0,5,0,,,,0,,,,0,14,0,-0.234375,43.3438,0.5,2.5625,1,0,0,-1.84375,1.35938,44.3438,42.8438,,6,6,0,3.23438,23.0313,0.5,1.125,1,0,0,2.71875,4.21875,24,22.2344,,7,5,0,-0.953125,25.2344,0.1875,0.4375,1,0,0,-1.64063,-0.125,26.1563,24.6563,
160,0,0,0,5,0,,,,0,,,,0,14,0,-0.21875,43.4531,0.5,2.5625,1,0,0,-1.89063,1.45313,44.4531,42.9531,,6,6,0,3.26563,23.0781,0.5,1.125,1,0,0,2.73438,4.23438,24.0469,22.2813,,7,5,0,-0.953125,25.25,0.1875,0.4375,1,0,0,-1.625,-0.109375,26.2031,24.7031,
200,0,0,0,5,0,,,,0,,,,0,8,0,-0.078125,43.5156,0.5,2.5,1,0,0,-1.71875,1.5625,44.5,42.9844,,6,6,0,3.28125,23.125,0.5,1.125,1,0,0,2.75,4.25,24.0938,22.3125,,7,5,0,-0.9375,25.2813,0.1875,0.4375,1,0,0,-1.60938,-0.109375,26.25,24.75,
240,0,0,0,5,0,,,,0,,,,0,10,0,0.03125,43.5938,0.5,2.5,1,0,0,-1.54688,1.625,44.5469,43.0469,,6,6,0,3.29688,23.1719,0.5,1.125,1,0,0,2.78125,4.28125,24.1406,22.3594,,7,5,0,-0.9375,25.2969,0.1875,0.4375,1,0,0,-1.60938,-0.109375,26.2969,24.7969,
280,0,0,0,5,0,,,,0,,,,0,10,0,0.078125,43.6875,0.5625,2.5,1,0,0,-1.45313,1.60938,44.6094,43.1094,,6,6,0,3.3125,23.2031,0.5,1.125,1,0,0,2.79688,4.29688,24.1719,22.3906,,7,5,0,-0.921875,25.3125,0.1875,0.4375,1,0,0,-1.60938,-0.109375,26.3438,24.8438,,8,5,0,1.42188,10.9375,-0.25,0,1,0,0,1.07813,2.57813,11.75,10.1406,
320,0,0,0,5,0,,,,0,,,,0,15,0,0.015625,43.7344,0.5625,2.4375,1,0,0,-1.46875,1.51563,44.6406,43.125,,6,6,0,3.34375,23.25,0.5,1.125,1,0,0,2.8125,4.3125,24.2188,22.4375,,7,5,0,-0.921875,25.3281,0.1875,0.4375,1,0,0,-1.59375,-0.09375,26.375,24.875,,8,5,0,1.42188,10.9375,-0.25,0,1,0,0,1.0625,2.5625,11.7344,10.1719,
360,0,0,0,5,0,,,,0,,,,0,15,0,0.046875,43.7813,0.5625,2.375,1,0,0,-1.4375,1.51563,44.6719,43.1563,,6,6,0,3.35938,23.2969,0.5,1.125,1,0,0,2.82813,4.32813,24.2656,22.4688,,7,5,0,-0.90625,25.3594,0.1875,0.4375,1,0,0,-1.59375,-0.09375,26.4219,24.9219,,8,5,0,1.40625,10.9375,-0.25,0,1,0,0,1.04688,2.54688,11.7031,10.2031,
